NodeType,Name,Floor,Coordinates,Neighbors
Classroom,2162,2,"(15, 30)",[]
Classroom,2163,2,"(22, 46)",[]
Classroom,2166,2,"(58, 30)",[]
Classroom,2421,2,"(70, 100)",[]
Classroom,2422,2,"(88, 110)",[]
Classroom,2423,2,"(85, 90)",[]
Classroom,2424,2,"(96, 102)",[]
Classroom,2427,2,"(45, 110)",[]
Classroom,1312,1,"(236, 78)",[]
Classroom,2312,2,"(236, 78)",[]
Classroom,3312,3,"(236, 78)",[]
Classroom,1313,1,"(248, 82)",[]
Classroom,2313,2,"(248, 82)",[]
Classroom,3313,3,"(248, 82)",[]
Classroom,1314,1,"(250, 90)",[]
Classroom,2314,2,"(250, 90)",[]
Classroom,3314,3,"(250, 90)",[]
Classroom,1317,1,"(251, 105)",[]
Classroom,2317,2,"(251, 105)",[]
Classroom,3317,3,"(251, 105)",[]
Classroom,1318,1,"(251, 115)",[]
Classroom,2318,2,"(251, 115)",[]
Classroom,3318,3,"(251, 115)",[]
Classroom,1319,1,"(275, 112)",[]
Classroom,2319,2,"(275, 112)",[]
Classroom,3319,3,"(275, 112)",[]
Classroom,1320,1,"(275, 130)",[]
Classroom,2320,2,"(275, 130)",[]
Classroom,3320,3,"(275, 130)",[]
Classroom,1321,1,"(275, 145)",[]
Classroom,2321,2,"(275, 145)",[]
Classroom,3321,3,"(275, 145)",[]
Classroom,1322,1,"(275, 160)",[]
Classroom,2322,2,"(275, 160)",[]
Classroom,3322,3,"(275, 160)",[]
Classroom,1328,1,"(228, 160)",[]
Classroom,2328,2,"(228, 160)",[]
Classroom,3328,3,"(228, 160)",[]
Classroom,1017,1,"(285, 165)",[]
Classroom,2017,2,"(285, 165)",[]
Classroom,3017,3,"(285, 165)",[]
Classroom,1018,1,"(285, 200)",[]
Classroom,2018,2,"(285, 200)",[]
Classroom,3018,3,"(285, 200)",[]
Classroom,1019,1,"(302, 165)",[]
Classroom,2019,2,"(302, 165)",[]
Classroom,3019,3,"(302, 165)",[]
Classroom,1020,1,"(302, 200)",[]
Classroom,2020,2,"(302, 200)",[]
Classroom,3020,3,"(302, 200)",[]
Classroom,1022,1,"(310, 165)",[]
Classroom,2022,2,"(310, 165)",[]
Classroom,3022,3,"(310, 165)",[]
Classroom,1023,1,"(310, 200)",[]
Classroom,2023,2,"(310, 200)",[]
Classroom,3023,3,"(310, 200)",[]
Classroom,1024,1,"(320, 165)",[]
Classroom,2024,2,"(320, 165)",[]
Classroom,3024,3,"(320, 165)",[]
Classroom,1025,1,"(320, 200)",[]
Classroom,2025,2,"(320, 200)",[]
Classroom,3025,3,"(320, 200)",[]
Hallway,11,1,"(5, 40)","['12', '14']"
Hallway,21,2,"(5, 40)","['22', '24']"
Hallway,31,3,"(5, 40)","['32', '34']"
Hallway,12,1,"(0, 0)",['13']
Hallway,22,2,"(0, 0)",['23']
Hallway,32,3,"(0, 0)",['33']
Hallway,13,1,"(62, 0)",['14']
Hallway,23,2,"(62, 0)",['24']
Hallway,33,3,"(62, 0)",['34']
Hallway,14,1,"(62, 40)","['15', '24']"
Hallway,24,2,"(62, 40)","['25', '34']"
Hallway,34,3,"(62, 40)",['35']
Hallway,15,1,"(110, 42)",['16']
Hallway,25,2,"(110, 42)",['26']
Hallway,35,3,"(110, 42)",['36']
Hallway,16,1,"(140, 72)","['110', '17']"
Hallway,26,2,"(140, 72)","['210', '27']"
Hallway,36,3,"(140, 72)","['310', '37']"
Hallway,17,1,"(95, 90)",['18']
Hallway,27,2,"(95, 90)",['28']
Hallway,37,3,"(95, 90)",['38']
Hallway,18,1,"(62, 120)",['19']
Hallway,28,2,"(62, 120)",['29']
Hallway,38,3,"(62, 120)",['39']
Hallway,19,1,"(30, 115)",[]
Hallway,29,2,"(30, 115)",[]
Hallway,39,3,"(30, 115)",[]
Hallway,110,1,"(220, 75)",['111']
Hallway,210,2,"(220, 75)",['211']
Hallway,310,3,"(220, 75)",['311']
Hallway,111,1,"(265, 100)",['112']
Hallway,211,2,"(265, 100)",['212']
Hallway,311,3,"(265, 100)",['312']
Hallway,112,1,"(265, 120)","['113', '114']"
Hallway,212,2,"(265, 120)","['213', '214']"
Hallway,312,3,"(265, 120)","['313', '314']"
Hallway,113,1,"(195, 150)",['114']
Hallway,213,2,"(195, 150)",['214']
Hallway,313,3,"(195, 150)",['314']
Hallway,114,1,"(265, 150)","['115', '214']"
Hallway,214,2,"(265, 150)","['215', '314']"
Hallway,314,3,"(265, 150)",['315']
Hallway,115,1,"(265, 180)",['116']
Hallway,215,2,"(265, 180)",['216']
Hallway,315,3,"(265, 180)",['316']
Hallway,116,1,"(320, 180)",[]
Hallway,216,2,"(320, 180)",[]
Hallway,316,3,"(320, 180)",[]
